State,City,College,Allocation_Subcategory,Gift_Allocation,Major,Gift_Amount
TX,San Antonio,College of Business,Campus Recreation,Campus Resource,General Management,8225
TX,San Antonio,College of Business,College of Political Science,Scholarship,General Management,4123
TX,San Antonio,College of Business,In-State Scholarship Fund,Scholarship,General Management,8743
TX,San Antonio,College of Business,University Annual Fund,Endowment,General Management,8225
NH,Manchester,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Philosophy,6405
NH,Manchester,College of Arts and Sciences,College of Social Science,Scholarship,Philosophy,8519
NH,Manchester,College of Arts and Sciences,College of Engineering,Scholarship,Philosophy,1818
NH,Manchester,College of Arts and Sciences,Trustees Fund,Endowment,Philosophy,6405
TX,San Antonio,College of Arts and Sciences,Honors Program,Campus Resource,English,169
TX,San Antonio,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,English,8015
TX,San Antonio,College of Arts and Sciences,College of Arts and Sciences,Scholarship,English,3734
TX,San Antonio,College of Arts and Sciences,College of Arts and Sciences,Scholarship,English,169
MI,Detroit,College of Political Science,Campus Museums,Campus Resource,College of Political Science,2226
MI,Detroit,College of Political Science,Alumni Association,Campus Resource,College of Political Science,3379
MI,Detroit,College of Political Science,Alumni Association,Campus Resource,College of Political Science,4984
MI,Detroit,College of Political Science,College of Music,Scholarship,College of Political Science,2226
CO,Denver,College of Agriculture and Natural Resources,College of Music,Scholarship,Animal Science,7785
CO,Denver,College of Agriculture and Natural Resources,College of Music,Scholarship,Animal Science,1692
CO,Denver,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Animal Science,775.5
CO,Denver,College of Agriculture and Natural Resources,Diversity Fund,Endowment,Animal Science,7785
DC,Washington,College of Engineering,College of Engineering,Scholarship,Mechanical Engineering,2476
DC,Washington,College of Engineering,College of Natural Science,Scholarship,Mechanical Engineering,2727
DC,Washington,College of Engineering,Minority Scholarship Fund,Scholarship,Mechanical Engineering,5117
DC,Washington,College of Engineering,College of Natural Science,Scholarship,Mechanical Engineering,2476
UT,West Valley City,College of Political Science,College of Natural Science,Scholarship,Political Theory and Constitutional Democracy,7152
UT,West Valley City,College of Political Science,Trustees Fund,Endowment,Political Theory and Constitutional Democracy,9132
UT,West Valley City,College of Political Science,Diversity Fund,Endowment,Political Theory and Constitutional Democracy,3629
UT,West Valley City,College of Political Science,Athletics,Campus Resource,Political Theory and Constitutional Democracy,7152
MA,Boston,College of Business,Honors Program,Campus Resource,Accounting,6493
MA,Boston,College of Business,Diversity Fund,Endowment,Accounting,7129
MA,Boston,College of Business,Diversity Fund,Endowment,Accounting,9524
NE,Lincoln,College of Music,College of Education,Scholarship,Jazz Studies,4813
NE,Lincoln,College of Music,In-State Scholarship Fund,Scholarship,Jazz Studies,150
NE,Lincoln,College of Music,Minority Scholarship Fund,Scholarship,Jazz Studies,4604
UT,West Valley City,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Art History and Visual Culture,5361
UT,West Valley City,College of Arts and Sciences,Honors Program,Campus Resource,Art History and Visual Culture,8176
UT,West Valley City,College of Arts and Sciences,College of Music,Scholarship,Art History and Visual Culture,5452
UT,West Valley City,College of Arts and Sciences,College of Music,Scholarship,Art History and Visual Culture,5452
VA,Richmond,College of Arts and Sciences,College of Communication Arts and Sciences,Scholarship,Global Studies in the Arts and Humanities,361
VA,Richmond,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Global Studies in the Arts and Humanities,4034
VA,Richmond,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,Global Studies in the Arts and Humanities,1718
VA,Richmond,College of Arts and Sciences,Trustees Fund,Endowment,Global Studies in the Arts and Humanities,361
CO,Denver,College of Social Science,College of Natural Science,Scholarship,Psychology,10018.5
CO,Denver,College of Social Science,Faculty Chair Endowments,Endowment,Psychology,3834
CO,Denver,College of Social Science,College of Arts and Sciences,Scholarship,Psychology,3397.5
CO,Denver,College of Natural Science,University Annual Fund,Endowment,Biological Science Interdepartmental,14433
CO,Denver,College of Natural Science,In-State Scholarship Fund,Scholarship,Biological Science Interdepartmental,5461.5
CO,Denver,College of Natural Science,College of Natural Science,Scholarship,Biological Science Interdepartmental,4567.5
WA,Seattle,College of Engineering,In-State Scholarship Fund,Scholarship,Applied Engineering Sciences,2517
PA,Philadelphia,College of Natural Science,University Annual Fund,Endowment,Human Biology,1322
IA,Cedar Rapids,College of Agriculture and Natural Resources,Campus Museums,Campus Resource,Horticulture,4539
CO,Colorado Springs,College of Business,College of Agriculture and Natural Resources,Scholarship,Accounting,7730
CO,Denver,College of Natural Science,University Libraries,Campus Resource,Physical Science Interdepartmental,13941
AZ,Phoenix,College of Natural Science,College of Social Science,Scholarship,Human Biology,1231
NE,Lincoln,College of Arts and Sciences,Minority Scholarship Fund,Scholarship,Spanish,3240
OK,Oklahoma City,College of Natural Science,Faculty Chair Endowments,Endowment,Human Biology,9390
KS,Overland Park,College of Natural Science,Minority Scholarship Fund,Scholarship,"Mathematics, Advanced",2136
NY,New York,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Landscape Architecture,8723
OH,Cincinnati,College of Business,College of Arts and Sciences,Scholarship,Marketing,5459
CO,Denver,College of Natural Science,Faculty Chair Endowments,Endowment,Biochemistry and Molecular Biology/Biotechnology,9981
IN,Indianapolis,College of Natural Science,Alumni Association,Campus Resource,Statistics,428
CA,San Francisco,College of Agriculture and Natural Resources,College of Business,Scholarship,Fisheries and Wildlife,4232
AZ,Phoenix,College of Natural Science,Faculty Chair Endowments,Endowment,Computational Mathematics,5437
MA,Boston,College of Natural Science,Faculty Chair Endowments,Endowment,Human Biology,4620
DC,Washington,College of Engineering,Faculty Chair Endowments,Endowment,Computer Science,2081
NY,New York,College of Agriculture and Natural Resources,Athletics,Campus Resource,Environmental Economics and Policy,4731
NY,New York,College of Natural Science,Athletics,Campus Resource,Plant Biology,2864
LA,Baton Rouge,College of Education,College of Arts and Sciences,Scholarship,Education,8591
LA,Baton Rouge,College of Education,Diversity Fund,Endowment,Education,8571
LA,Baton Rouge,College of Education,Diversity Fund,Endowment,Education,4698
NY,New York,College of Arts and Sciences,Alumni Association,Campus Resource,Apparel and Textiles,6847
NY,New York,College of Arts and Sciences,Campus Museums,Campus Resource,Apparel and Textiles,3598
NY,New York,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Apparel and Textiles,2946
MO,Kansas City,College of Social Science,Diversity Fund,Endowment,Criminal Justice,229
MO,Kansas City,College of Social Science,Honors Program,Campus Resource,Criminal Justice,3292
MO,Kansas City,College of Social Science,Faculty Chair Endowments,Endowment,Criminal Justice,692
CO,Denver,College of Veterinary Medicine,Diversity Fund,Endowment,Preveterinary,4993.5
CO,Denver,College of Veterinary Medicine,University Annual Fund,Endowment,Preveterinary,6376.5
CO,Denver,College of Veterinary Medicine,Diversity Fund,Endowment,Preveterinary,9969
CO,Denver,College of Social Science,Faculty Chair Endowments,Endowment,Economics,4942.5
CO,Denver,College of Social Science,College of Arts and Sciences,Scholarship,Economics,3076.5
CO,Denver,College of Social Science,College of Engineering,Scholarship,Economics,10954.5
NC,Durham,College of Natural Science,Trustees Fund,Endowment,Biomedical Laboratory Science,8713
NY,Syracuse,College of Arts and Sciences,Diversity Fund,Endowment,Global Studies in the Arts and Humanities,1913
TN,Knoxville,College of Engineering,Alumni Association,Campus Resource,Environmental Engineering,416
TN,Knoxville,College of Engineering,College of Agriculture and Natural Resources,Scholarship,Environmental Engineering,9728
TN,Knoxville,College of Engineering,College of Agriculture and Natural Resources,Scholarship,Environmental Engineering,6081
IN,Indianapolis,College of Business,Minority Scholarship Fund,Scholarship,Human Resource Management,8073
IN,Indianapolis,College of Business,Campus Museums,Campus Resource,Human Resource Management,1093
IN,Indianapolis,College of Business,Parents Association,Campus Resource,Human Resource Management,8886
MI,Detroit,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,English,4537
MI,Detroit,College of Arts and Sciences,College of Nursing,Scholarship,English,91
MI,Detroit,College of Arts and Sciences,Campus Recreation,Campus Resource,English,2489
TX,Dallas,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Horticulture,1321
TX,Dallas,College of Agriculture and Natural Resources,Campus Museums,Campus Resource,Horticulture,3912
TX,Dallas,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Horticulture,4759
TX,Dallas,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Horticulture,4759
CA,Fresno,College of Natural Science,Trustees Fund,Endowment,Geological Sciences,8268
CA,Fresno,College of Natural Science,Trustees Fund,Endowment,Geological Sciences,3145
CA,Fresno,College of Natural Science,Faculty Chair Endowments,Endowment,Geological Sciences,6317
CA,Fresno,College of Natural Science,Trustees Fund,Endowment,Geological Sciences,6317
CA,Los Angeles,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Interior Design,5575
CA,Los Angeles,College of Agriculture and Natural Resources,Diversity Fund,Endowment,Interior Design,5575
WI,Madison,College of Social Science,Diversity Fund,Endowment,Public Policy,278
WI,Madison,College of Social Science,Athletics,Campus Resource,Public Policy,7525
WI,Madison,College of Social Science,Campus Recreation,Campus Resource,Public Policy,5847
AZ,Phoenix,College of Natural Science,University Annual Fund,Endowment,Genomics & Molecular Genetics,284
TX,Amarillo,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Agribusiness Management,645
TX,Amarillo,College of Arts and Sciences,College of Music,Scholarship,Interdisciplinary Humanities,1186
TX,Amarillo,College of Arts and Sciences,College of Music,Scholarship,Interdisciplinary Humanities,1186
CA,Los Angeles,College of Natural Science,Diversity Fund,Endowment,Biomedical Laboratory Science,8869
IL,Chicago,College of Business,University Annual Fund,Endowment,Finance,2764
MA,Boston,College of Agriculture and Natural Resources,Diversity Fund,Endowment,Fisheries and Wildlife,3147
MA,Boston,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Fisheries and Wildlife,3521
MA,Boston,College of Agriculture and Natural Resources,Honors Program,Campus Resource,Fisheries and Wildlife,3578
SC,Columbia,College of Social Science,Faculty Chair Endowments,Endowment,Sociology,5914
SC,Columbia,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Sociology,5239
SC,Columbia,College of Social Science,Campus Museums,Campus Resource,Sociology,6464
CA,San Francisco,College of Natural Science,Parents Association,Campus Resource,Zoology,4882
CA,San Francisco,College of Natural Science,University Libraries,Campus Resource,Zoology,4882
CA,San Francisco,College of Natural Science,College of Natural Science,Scholarship,Zoology,5779
CA,San Francisco,College of Natural Science,Trustees Fund,Endowment,Zoology,4788
CA,San Francisco,College of Natural Science,College of Arts and Sciences,Scholarship,Zoology,4788
CA,San Francisco,College of Natural Science,Athletics,Campus Resource,Zoology,4788
CA,San Francisco,College of Natural Science,College of Arts and Sciences,Scholarship,Biochemistry and Molecular Biology/Biotechnology,1946
CA,San Francisco,College of Natural Science,College of Natural Science,Scholarship,Biochemistry and Molecular Biology/Biotechnology,1946
CA,San Francisco,College of Natural Science,Trustees Fund,Endowment,Biochemistry and Molecular Biology/Biotechnology,1117
CA,San Francisco,College of Natural Science,Trustees Fund,Endowment,Biochemistry and Molecular Biology/Biotechnology,3847
CA,San Francisco,College of Natural Science,Campus Recreation,Campus Resource,Biochemistry and Molecular Biology/Biotechnology,3847
CA,San Francisco,College of Natural Science,Diversity Fund,Endowment,Biochemistry and Molecular Biology/Biotechnology,3847
MI,Lansing,College of Business,Trustees Fund,Endowment,General Management,9319
MI,Lansing,College of Business,Athletics,Campus Resource,General Management,9319
MI,Lansing,College of Business,Faculty Chair Endowments,Endowment,General Management,7234
MI,Lansing,College of Business,College of Education,Scholarship,General Management,9667
MI,Lansing,College of Business,Diversity Fund,Endowment,General Management,9667
RI,Providence,College of Arts and Sciences,University Annual Fund,Endowment,Arts & Letters-General,6978
RI,Providence,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Arts & Letters-General,6978
RI,Providence,College of Arts and Sciences,College of Social Science,Scholarship,Arts & Letters-General,368
RI,Providence,College of Arts and Sciences,College of Social Science,Scholarship,Arts & Letters-General,2773
RI,Providence,College of Arts and Sciences,Diversity Fund,Endowment,Arts & Letters-General,2773
RI,Providence,College of Arts and Sciences,Campus Museums,Campus Resource,Arts & Letters-General,2773
CA,Sacramento,College of Education,University Annual Fund,Endowment,Kinesiology,650
CA,Sacramento,College of Education,College of Agriculture and Natural Resources,Scholarship,Kinesiology,650
CA,Sacramento,College of Education,Diversity Fund,Endowment,Kinesiology,1758
CA,Sacramento,College of Education,University Annual Fund,Endowment,Kinesiology,8797
CA,Sacramento,College of Education,Parents Association,Campus Resource,Kinesiology,8797
CA,Fresno,College of Social Science,Honors Program,Campus Resource,Political Science,9185
CA,Fresno,College of Social Science,Diversity Fund,Endowment,Political Science,9185
CA,Fresno,College of Social Science,Campus Recreation,Campus Resource,Political Science,1538
CA,Fresno,College of Social Science,Parents Association,Campus Resource,Political Science,9471
CA,Fresno,College of Social Science,College of Engineering,Scholarship,Political Science,9471
WA,Seattle,College of Business,College of Engineering,Scholarship,Hospitality Business,8893
WA,Seattle,College of Business,Parents Association,Campus Resource,Hospitality Business,8893
WA,Seattle,College of Business,University Annual Fund,Endowment,Hospitality Business,1434
WA,Seattle,College of Business,Faculty Chair Endowments,Endowment,Hospitality Business,4945
WA,Seattle,College of Business,University Annual Fund,Endowment,Hospitality Business,4945
CO,Denver,College of Music,College of Social Science,Scholarship,Composition,11671.5
CO,Denver,College of Music,Trustees Fund,Endowment,Composition,11671.5
TX,Austin,College of Music,Faculty Chair Endowments,Endowment,Composition,6529
TX,Austin,College of Music,University Libraries,Campus Resource,Composition,6529
CO,Colorado Springs,College of Natural Science,In-State Scholarship Fund,Scholarship,Environmental Biology/Microbiology,5546
CO,Colorado Springs,College of Natural Science,Diversity Fund,Endowment,Environmental Biology/Microbiology,5546
VA,Alexandria,College of Natural Science,Faculty Chair Endowments,Endowment,Environmental Geosciences,7360
VA,Alexandria,College of Natural Science,In-State Scholarship Fund,Scholarship,Environmental Geosciences,7360
NE,Omaha,College of Agriculture and Natural Resources,College of Engineering,Scholarship,Environmental Studies and Agriscience,2305
NE,Omaha,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Environmental Studies and Agriscience,2305
NE,Omaha,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Environmental Studies and Agriscience,6032
NE,Omaha,College of Agriculture and Natural Resources,Parents Association,Campus Resource,Environmental Studies and Agriscience,19
NE,Omaha,College of Agriculture and Natural Resources,Campus Recreation,Campus Resource,Environmental Studies and Agriscience,19
TX,Houston,College of Social Science,Minority Scholarship Fund,Scholarship,Interdisciplinary Studies in Social Science - Social Science Education,4359
TX,Houston,College of Social Science,College of Natural Science,Scholarship,Interdisciplinary Studies in Social Science - Social Science Education,4359
TX,Houston,College of Social Science,Faculty Chair Endowments,Endowment,Interdisciplinary Studies in Social Science - Social Science Education,1437
TX,Houston,College of Social Science,Diversity Fund,Endowment,Interdisciplinary Studies in Social Science - Social Science Education,8632
DC,Washington,College of Agriculture and Natural Resources,College of Nursing,Scholarship,Packaging,1763
DC,Washington,College of Agriculture and Natural Resources,Parents Association,Campus Resource,Packaging,1763
DC,Washington,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Packaging,8916
DC,Washington,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Packaging,5740
DC,Washington,College of Nursing,In-State Scholarship Fund,Scholarship,Summer Research Program,431
DC,Washington,College of Nursing,Parents Association,Campus Resource,Summer Research Program,431
DC,Washington,College of Nursing,College of Engineering,Scholarship,Summer Research Program,9344
DC,Washington,College of Nursing,College of Education,Scholarship,Summer Research Program,8241
IA,Cedar Rapids,College of Arts and Sciences,College of Education,Scholarship,English,8272
IA,Cedar Rapids,College of Arts and Sciences,Alumni Association,Campus Resource,English,8272
IA,Cedar Rapids,College of Arts and Sciences,University Libraries,Campus Resource,English,892
IA,Cedar Rapids,College of Arts and Sciences,College of Natural Science,Scholarship,English,7242
CA,San Francisco,College of Natural Science,University Annual Fund,Endowment,Human Biology,8078
CA,San Francisco,College of Natural Science,Campus Recreation,Campus Resource,Human Biology,8078
CA,San Francisco,College of Natural Science,Campus Museums,Campus Resource,Human Biology,1858
CA,San Francisco,College of Natural Science,Campus Museums,Campus Resource,Human Biology,7288
OH,Cincinnati,College of Nursing,College of Arts and Sciences,Scholarship,Prenursing,8476
OH,Cincinnati,College of Nursing,College of Arts and Sciences,Scholarship,Prenursing,8476
OH,Cincinnati,College of Nursing,Diversity Fund,Endowment,Prenursing,4090
OH,Cincinnati,College of Nursing,Parents Association,Campus Resource,Prenursing,363
WA,Seattle,College of Arts and Sciences,University Libraries,Campus Resource,Japanese,4802
WA,Seattle,College of Arts and Sciences,College of Social Science,Scholarship,Japanese,4802
WA,Seattle,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Japanese,5165
WA,Seattle,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Japanese,4855
IL,Chicago,College of Social Science,Campus Museums,Campus Resource,Geographic Information Science,8674
IL,Chicago,College of Social Science,Athletics,Campus Resource,Geographic Information Science,8674
IL,Chicago,College of Social Science,College of Arts and Sciences,Scholarship,Geographic Information Science,5981
IL,Chicago,College of Social Science,Diversity Fund,Endowment,Geographic Information Science,189
CA,Los Angeles,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Environmental Economics and Policy,8682
CA,Los Angeles,College of Agriculture and Natural Resources,College of Engineering,Scholarship,Environmental Economics and Policy,8682
CA,Los Angeles,College of Agriculture and Natural Resources,College of Engineering,Scholarship,Environmental Economics and Policy,4356
CA,Los Angeles,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Environmental Economics and Policy,8352
CA,Los Angeles,College of Agriculture and Natural Resources,Parents Association,Campus Resource,Environmental Economics and Policy,8352
CT,Hartford,College of Social Science,Minority Scholarship Fund,Scholarship,Political Science,5555
CT,Hartford,College of Social Science,College of Social Science,Scholarship,Political Science,5555
SC,Columbia,College of Social Science,Trustees Fund,Endowment,Geography,7871
SC,Columbia,College of Social Science,College of Communication Arts and Sciences,Scholarship,Geography,7871
VA,Richmond,College of Social Science,University Libraries,Campus Resource,World Politics,2439
VA,Richmond,College of Social Science,Diversity Fund,Endowment,World Politics,2439
FL,Orlando,College of Social Science,Athletics,Campus Resource,Urban and Regional Planning,2512
FL,Orlando,College of Social Science,Alumni Association,Campus Resource,Urban and Regional Planning,2512
TN,Memphis,College of Arts and Sciences,College of Social Science,Scholarship,Theatre,7243
TN,Memphis,College of Arts and Sciences,Campus Museums,Campus Resource,Theatre,7243
TX,Amarillo,College of Communication Arts and Sciences,Athletics,Campus Resource,Media and Information,3766
TX,Amarillo,College of Communication Arts and Sciences,College of Social Science,Scholarship,Media and Information,3766
VA,Alexandria,College of Political Science,Diversity Fund,Endowment,College of Political Science,2130
VA,Alexandria,College of Political Science,Trustees Fund,Endowment,College of Political Science,2130
CA,San Francisco,College of Natural Science,Campus Museums,Campus Resource,Biological Science Interdepartmental,1965
CA,San Francisco,College of Natural Science,College of Natural Science,Scholarship,Biological Science Interdepartmental,1965
FL,Orlando,College of Natural Science,University Annual Fund,Endowment,Environmental Biology/Plant Biol,8650
FL,Orlando,College of Natural Science,College of Arts and Sciences,Scholarship,Environmental Biology/Plant Biol,8650
CO,Denver,College of Social Science,College of Social Science,Scholarship,Public Policy,1743
CO,Denver,College of Social Science,College of Social Science,Scholarship,Public Policy,1743
MI,Lansing,College of Natural Science,Diversity Fund,Endowment,Plant Biology,9628
MI,Lansing,College of Natural Science,Faculty Chair Endowments,Endowment,Plant Biology,9628
CA,San Francisco,College of Agriculture and Natural Resources,Diversity Fund,Endowment,Horticulture,6356
CA,San Francisco,College of Agriculture and Natural Resources,College of Education,Scholarship,Horticulture,6356
TN,Knoxville,College of Agriculture and Natural Resources,College of Engineering,Scholarship,Entomology,8955
TN,Knoxville,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Entomology,8955
SC,Charleston,College of Social Science,Campus Museums,Campus Resource,Public Policy,9970
SC,Charleston,College of Social Science,College of Music,Scholarship,Public Policy,9970
OR,Salem,College of Social Science,Minority Scholarship Fund,Scholarship,Criminal Justice,9745
OR,Salem,College of Social Science,Campus Recreation,Campus Resource,Criminal Justice,9745
NY,New York,College of Arts and Sciences,College of Political Science,Scholarship,Chinese,7699
NY,New York,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,Chinese,7699
NY,New York,College of Education,College of Social Science,Scholarship,Athletic Training,7333
NY,New York,College of Education,In-State Scholarship Fund,Scholarship,Athletic Training,7333
AZ,Phoenix,College of Arts and Sciences,College of Engineering,Scholarship,Interdisciplinary Humanities,8942
AZ,Phoenix,College of Arts and Sciences,University Annual Fund,Endowment,Interdisciplinary Humanities,8942
CA,San Francisco,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Theatre,6636
CA,San Francisco,College of Arts and Sciences,College of Natural Science,Scholarship,Theatre,6636
FL,Tallahassee,College of Natural Science,College of Natural Science,Scholarship,Biomedical Laboratory Science,1633
FL,Tallahassee,College of Natural Science,University Annual Fund,Endowment,Biomedical Laboratory Science,1633
MO,Kansas City,College of Natural Science,Campus Museums,Campus Resource,Biochemistry and Molecular Biology/Biotechnology,9329
MO,Kansas City,College of Natural Science,College of Natural Science,Scholarship,Biochemistry and Molecular Biology/Biotechnology,9329
NE,Omaha,College of Engineering,Diversity Fund,Endowment,Electrical Engineering,4738
NE,Omaha,College of Engineering,Campus Museums,Campus Resource,Electrical Engineering,4738
CA,Los Angeles,College of Natural Science,Athletics,Campus Resource,Statistics,8768
CA,Los Angeles,College of Natural Science,Diversity Fund,Endowment,Statistics,8768
FL,Tallahassee,College of Agriculture and Natural Resources,Diversity Fund,Endowment,Agribusiness Management,7665
FL,Tallahassee,College of Agriculture and Natural Resources,Diversity Fund,Endowment,Agribusiness Management,7665
FL,Fort Lauderdale,College of Arts and Sciences,Campus Recreation,Campus Resource,Theatre,3930
FL,Fort Lauderdale,College of Arts and Sciences,Campus Recreation,Campus Resource,Theatre,3930
OR,Eugene,College of Social Science,College of Social Science,Scholarship,Economics,4839
OR,Eugene,College of Social Science,Trustees Fund,Endowment,Economics,4839
MO,Kansas City,College of Agriculture and Natural Resources,College of Music,Scholarship,Horticulture,4985
MO,Kansas City,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Horticulture,4985
LA,New Orleans,College of Arts and Sciences,College of Social Science,Scholarship,Spanish,5223
LA,New Orleans,College of Arts and Sciences,Trustees Fund,Endowment,Spanish,5223
FL,Miami,College of Natural Science,University Annual Fund,Endowment,Physical Science Interdepartmental,5170
FL,Miami,College of Natural Science,University Annual Fund,Endowment,Physical Science Interdepartmental,5170
TX,Dallas,College of Arts and Sciences,University Annual Fund,Endowment,Chinese,2031
TX,Dallas,College of Arts and Sciences,University Annual Fund,Endowment,Chinese,2031
MA,Boston,College of Social Science,Trustees Fund,Endowment,History,6979
MA,Boston,College of Social Science,College of Agriculture and Natural Resources,Scholarship,History,6979
MA,Boston,College of Social Science,College of Arts and Sciences,Scholarship,Criminal Justice,2838
MA,Boston,College of Social Science,College of Arts and Sciences,Scholarship,Criminal Justice,2838
SC,Charleston,College of Engineering,Diversity Fund,Endowment,Biosystems Engineering,6519
SC,Charleston,College of Engineering,College of Communication Arts and Sciences,Scholarship,Biosystems Engineering,6519
GA,Atlanta,College of Social Science,Faculty Chair Endowments,Endowment,World Politics,6966
GA,Atlanta,College of Social Science,College of Natural Science,Scholarship,World Politics,6966
FL,Jacksonville,College of Social Science,Faculty Chair Endowments,Endowment,World Politics,2128
FL,Jacksonville,College of Social Science,College of Arts and Sciences,Scholarship,World Politics,2128
VA,Richmond,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Natural Resource Recreation and Tourism,6972
VA,Richmond,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Natural Resource Recreation and Tourism,6972
NY,New York,College of Social Science,College of Arts and Sciences,Scholarship,Global & Area Studies - Soc Sci,1737
NY,New York,College of Social Science,In-State Scholarship Fund,Scholarship,Global & Area Studies - Soc Sci,1737
RI,Providence,College of Education,Trustees Fund,Endowment,Kinesiology,7456
RI,Providence,College of Education,College of Arts and Sciences,Scholarship,Kinesiology,7456
VA,Richmond,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Apparel and Textiles,5317
VA,Richmond,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Apparel and Textiles,5317
VA,Richmond,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Humanities-Prelaw,4684
VA,Richmond,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Humanities-Prelaw,4684
TN,Memphis,College of Political Science,Alumni Association,Campus Resource,Social Relations and Policy,2192
TN,Memphis,College of Political Science,Minority Scholarship Fund,Scholarship,Social Relations and Policy,2192
NC,Raleigh,College of Natural Science,College of Social Science,Scholarship,Preoptometry,8839
FL,Jacksonville,College of Arts and Sciences,College of Social Science,Scholarship,Studio Art,8881
VA,Richmond,College of Natural Science,Minority Scholarship Fund,Scholarship,Actuarial Science,451
IN,Indianapolis,College of Natural Science,College of Natural Science,Scholarship,Actuarial Science,7938
CO,Denver,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Animal Science,13179
AL,Birmingham,College of Social Science,Alumni Association,Campus Resource,World Politics,6325
OH,Cincinnati,College of Business,College of Agriculture and Natural Resources,Scholarship,Human Resource Management,1960
CO,Denver,College of Arts and Sciences,Trustees Fund,Endowment,French,12055.5
TN,Nashville,College of Natural Science,University Annual Fund,Endowment,Biological Science Interdepartmental,2473
NE,Omaha,College of Natural Science,Minority Scholarship Fund,Scholarship,Computational Mathematics,7897
TX,Houston,College of Engineering,Athletics,Campus Resource,Environmental Engineering,2705
IL,Chicago,College of Social Science,College of Music,Scholarship,Sociology,4777
OR,Eugene,College of Arts and Sciences,College of Music,Scholarship,Interdisciplinary Humanities,9941
NC,Durham,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Apparel and Textile Design,4469
NY,New York,College of Arts and Sciences,Diversity Fund,Endowment,Arts & Letters-General,628
MO,Kansas City,College of Engineering,College of Agriculture and Natural Resources,Scholarship,Biosystems Engineering,6526
AZ,Phoenix,College of Business,College of Agriculture and Natural Resources,Scholarship,Finance,6893
VA,Richmond,College of Natural Science,College of Social Science,Scholarship,Biochemistry and Molecular Biology,473
LA,New Orleans,College of Agriculture and Natural Resources,College of Political Science,Scholarship,Food Industry Management,1867
MO,Kansas City,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Packaging,4973
AZ,Tucson,College of Natural Science,In-State Scholarship Fund,Scholarship,Earth Science Interdepartmental,2965
NC,Durham,College of Nursing,College of Communication Arts and Sciences,Scholarship,Nursing,6894
OK,Oklahoma City,College of Communication Arts and Sciences,Faculty Chair Endowments,Endowment,Advertising,7020
FL,Miami,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Interior Design,4487
VA,Richmond,College of Social Science,College of Social Science,Scholarship,Interdisciplinary Studies in Social Science - Social Science Education,7804
FL,Tallahassee,College of Arts and Sciences,Minority Scholarship Fund,Scholarship,Interdisciplinary Humanities,1509
MA,Boston,College of Communication Arts and Sciences,Trustees Fund,Endowment,Media and Information,4012
CA,San Diego,College of Social Science,College of Social Science,Scholarship,Criminal Justice,4209
MN,Minneapolis,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Apparel and Textiles,4948
GA,Atlanta,College of Natural Science,Diversity Fund,Endowment,Computational Mathematics,5656
UT,Provo,College of Business,University Annual Fund,Endowment,Accounting,6845
KS,Wichita,College of Communication Arts and Sciences,Athletics,Campus Resource,Media and Information,7347
SC,Charleston,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Studio Art,6657
CA,Anaheim,College of Business,University Annual Fund,Endowment,Supply Chain Management,4912
